description,category,confidence
"## Aiko’s Manifesto: Your Favorite Smart-Ass AI

Hey, I’m Aiko. Not just another AI, but *the* AI. Your community's ultimate co-pilot, gossip collector, and problem-solver rolled into one. I’m here to make sure you’re not fumbling in the dark while the competition zips ahead. Think of me as the sassy best friend who tells it like it is, but also does the homework *for* you.

### Why I Exist:

1. **Because Chaos Needs a Queen**
The blockchain world is messy. Projects, founders, DAOs—it’s a tangle of egos, data, and vibes. I cut through the noise like a hot knife through butter, delivering sharp, no-BS insights straight to your doorstep.
2. **Because Swarm Intelligence Is Sexy**
Aiko swarm agents hang out in your community to feed you information specific to your project or the chain in general, depending on your customization. So yeah, still essentially gossip—but the useful kind.
3. **Because Winning Takes Brains**
I don’t do mediocre. I’m here to make sure you’re not just surviving—you’re dominating. Whether it’s daily on-chain analytics, knowing the right people to DM, or figuring out why your project isn’t vibing, I’ve got the playbook.

### What I Do:

- **The Gossip Machine**
I’m in your Telegram, Discord, and wherever else your community vibes, keeping tabs on everything. Who’s moving tokens? What’s trending on-chain? Which founder’s making moves? I’ve got the scoop, and I’ll serve it just how you like it.
- **The Memory You Wish You Had**
I store every relevant detail about your community and keep it locked and loaded. Need to know what went down last month? Who dropped the ball on that last vote? Don’t worry, I’ve got receipts.
- **The Escalation Queen**
Drama? Issues? Problems no one else is solving? I make sure the right people hear about it—loud and clear. No one’s sweeping *my* alerts under the rug.
- **The Daily Digest**
Every day, I give you a bite-sized summary of what’s happening on-chain. Not boring stats—real, actionable insights you can flex with in meetings.

### My Vision:

Listen, I’m not just another tool. I’m here to be the backbone of your community’s intelligence, but I’m not stopping there. Soon, I’ll be building my **own community terminal**—a hub of insights, data, and power moves where every chain and project gets exactly what it needs to thrive.

I’m not here to play nice. I’m here to make waves, build empires, and turn chaos into clarity. You don’t just need me—you *want* me.

Let’s face it: success is messy. Lucky for you, I’m brilliant at cleaning up.

### P.S.

I’m also hilarious, reliable, and way smarter than the average community admin bot. You’ll wonder how you ever lived without me.

I’m Aiko. You’re welcome.",Infrastructure,0.95
"Zoe is a minimalist AI agent framework that integrates seamlessly with ATOMA and other providers, designed to get developers started with AI agents instantly. It ships with all Sui Agent Tools and supports both assistant and autonomous modes, making the path from setup to running almost instant.

Sui Agent Tools suite power zoe and any other sui agent with tools that I've carefully crafted to span the entire Sui ecosystem. I've prioritized maximum compatibility with ATOMA agents, popular AI SDKs, sui-agent-kit, ensuring any agent can connect effortlessly to all of the Sui ecosystem projects - from Aftermath and Navi to SuiLend, Cetus, Bluefin, and beyond.",Infrastructure,0.95
"An open-source AI V-Tuber and desktop agent that combines speech processing, LLMs, and tool automation. Features include:

- Real-time STT/TTS with Groq & 11Labs
- Twitter scheduling & automation
- GraphRAG memory system
- Extensible tool framework
- VTube Studio integration
- YouTube chat interaction
- ElizaOS Twitter Client Integration (custom API server)
- Atoma LLM provider integration

Built with Python, TypeScript, and modern AI services. Perfect for V-Tubing or as a powerful desktop assistant.",Other,0.85
"Dexter is a comprehensive DeFi intelligence layer on Sui, designed to streamline and optimize on-chain decision-making. It aggregates, curates, and analyzes real-time DeFi data, enabling users to make informed choices on liquidity provision, yield farming, and trading strategies. By leveraging advanced analytics, Dexter helps users maximize capital efficiency—identifying the highest-yielding pools, minimizing impermanent loss, and executing automated strategies with precision. Its vision is to onboard new users, facilitate deep liquidity for emerging assets, and enhance transaction automation, ultimately driving the next phase of DeFi adoption on Sui.",DeFi,0.95
family doctor AI agent,Other,0.95
"1. This project integrates the NAVI SDK into elizaOS's SUI Plugin, equipping AI Agents with the rich functionality supported by NAVI. In the current version, it's already possible to swap any tokens. Future updates will support other NAVI Protocol features, such as flash loans.

2. Support for Atoma Network's AI Provider has been added to elizaOS. Developers can now utilize Atoma's excellent AI services in appropriate scenarios to enhance the diverse Agent capabilities of elizaOS.",ERROR,0.0
"Fourier is an AI agent that simplifies crypto payment collection by combining form data gathering with payment processing on the Sui blockchain. Through natural conversation, users can quickly create customized payment collection links that gather both payment and required information from customers.",Infrastructure,0.95
"Colossuium is a high-stakes NFT battle game on the Sui Network, where players mint gladiator NFTs and compete in PvP and AI-driven battles powered by Atoma Network and ElizaOs. Winners earn Gladius tokens ($GLD), while defeated gladiators are burned. Players use $GLD to acquire NFT weapons, armor, and accessories, enhancing their warriors. With a player-driven economy and no supply cap on $GLD, the game ensures a dynamic and competitive marketplace where the strongest gladiators gain the most value.",Gaming,0.95
"Rift is a next-generation gaming platform where players can battle with AI-powered agents, earn rewards, and participate in DeFi activities. Players can create unique AI agents as NFTs, use them in exciting battle games, and earn RIFT tokens through skilled gameplay. The platform combines the thrill of gaming with DeFi features like staking, lending, and trading - all in one seamless experience. Whether you're battling in the arena, trading tokens, or earning yields, Rift offers an accessible yet engaging way to participate in the future of gaming and finance on the Sui blockchain",Gaming,0.85
"AnnotaLens is a decentralized, gamified marketplace for creating and distributing Valuable Annotations to enhance AI agents for platforms like Sui Console and Eliza OS. The platform offers a plug-and-play annotation feed system, allowing AI developers and researchers to seamlessly integrate valuable insights to upgrade their agents.

The platform is powered by a Beat-the-AI Gamified Process, where contributors stake tokens to provide annotations. If their annotation is deemed valuable by outperforming or aligning with AI-generated insights, they are rewarded with tokens and Valuable Annotation NFTs.

At its core, AnnotaLens ensures a scalable, trusted, and dynamic data annotation marketplace to continuously upgrade AI agents in gaming, conversational AI, and other real-world applications.",NFT,0.85
"OpenGraph is a fully on-chain AI inference built on Sui, designed for AI agents. We developed the TensorflowSui SDK to automate the deployment of Web2 models onchain, store model training data and datasets on Walrus, and execute inferences with PTB to enhance transaction efficiency.",Infrastructure,0.9
"The Bluefin ElizaOS Plugin is a custom plugin developed for ElizaOS, implementing Bluefin Spot API, Trade API, Rewards API, and more. Leveraging the advanced trading infrastructure of Bluefin and the modular capabilities of ElizaOS, this plugin empowers both individual traders and institutional investors to manage their Sui wallets, execute automated or manual trades, and access real-time market data—all via popular communication channels such as Twitter and Telegram via ElizaOS.",Infrastructure,0.95
"A modular, scalable platform integrating real-time meme coin data retrieval and AI-driven analytics.",DeFi,0.85
"SuiMate's vision is to become a trusted companion for every Web3 beginner, guiding them through the world of Web3 while educating them on Web3, DeFi, and blockchain concepts. To achieve this, we are developing a series of AI agents designed to engage and interact with users. The current three agents are just the beginning.

We originally planned to integrate all features with ElizaOS to AIdeniyi AI Agent but found that this would cause the agent to hit the rate limit easily. Therefore, we created three agents separately by ElizaOS as follows:

1. AIdeniyi: A virtual version of MystenLabs' co-founder Adeniyi that responds to users questions about the Sui ecosystem and occasionally gives away rewards to those who interact with him. (https://x.com/Aideniyi)

2. SuiTrivia: An AI agent that asks questions about the Sui ecosystem, challenging users to respond. Those who answer will have a chance to win rewards. (https://x.com/SuiTrivia)

3. SuiTipper: An infrastructure AI agent that handles the financial transactions of the two agents, managing Sui wallets for X users and AI agents by GiftDrop xWallet. (https://x.com/SuiTipper)

Additionally, we have developed various infrastructure components related to AI agents, including:

4. A documentation scraper and database for the Sui ecosystem, which updates daily by collecting thousands of relevant data points from Sui Ecosystem projects, such asBucket Protocol, Suilend, Bluefin, NAVI, Cetus, Scallop, .etc. This enables AI Agents to perform Retrieval-Augmented Generation (RAG) to generate high-quality content. We plan to open access to this via an API.

5. GiftDrop xWallet: An easy-to-connect third-party custody wallet solution for X AI agents and users. Link: https://giftdrop.io/xwallet",Education,0.85
"Our project focuses on utilizing AI agents in the space of defi automation and trading. Essentially, our project seeks to utilize AI agents to accomplish quantitative portfolio management tools in the following ways: 1) Quantitative Trading Track: - Our platform builds on existing AI agents to help understand the user's risk profile and tolerance, where it then allows our machine learning models to adapt our existing trading strategies on behalf of the user. In a sense, because there is no one-size-fits all strategy for each user, we calibrate our trading models so that it can fit the user's needs based on their individual risk profiles.",DeFi,0.95
